,title,artist,album,genre,publisher,agency,pub_date,listeners,streams
626,꽃이야,JBJ,True Colors,댄스 / 가요,카카오엔터테인먼트,"Stone Music Entertainment, 카카오엔터테인먼트, 페이브엔터테인먼트",2018.01.17,324868,7456615
627,밤이 두려워진 건,정동하,밤이 두려워진 건,발라드 / 가요,뮤직앤뉴,뮤직원 컴퍼니,2019.05.30,33981,347728
628,여자 대통령,걸스데이 (Girl's Day),정규 1집 리패키지 앨범 '여자 대통령',댄스 / 가요,㈜인터파크,㈜인터파크,2013.06.24,446687,3480255
629,하늘색 약속,지오디 (god),Chapter 8,전체 / 가요,카카오엔터테인먼트,"sidus HQ, god",2014.07.08,797271,9314155
630,아무도 모르게 (Prod. By MC몽),치타 & 에일리 (Ailee),언프리티 랩스타 Track 6,랩/힙합 / 가요,지니뮤직,Stone Music Entertainment,2015.03.27,663568,8979053
631,서울,쏜애플 (THORNAPPLE),서울병,인디 / 가요,해피로봇 레코드,해피로봇레코드,2016.05.19,76990,837255
632,살찐 사랑,제시,살찐 사랑,발라드 / 가요,NHN벅스,YMC엔터테인먼트㈜,2016.03.15,86578,867108
633,비 내리는 포경선,드렁큰 타이거,뿌리,랩/힙합 / 가요,오감엔터테인먼트,조영욱,2003.02.01,4408,25594
634,쉼표,홍대광,단내투어 OST,전체 / OST,"지니뮤직, Stone Music Entertainment",CJ ENM DIATV,2018.02.26,63314,571146
635,나 오늘 술 마셨어,전철민,나 오늘 술 마셨어,발라드 / 가요,카카오엔터테인먼트,㈜ 스튜디오 오드리,2019.10.23,69289,1328054
636,Lucky,EXO,The 1st Album 'XOXO (Kiss&Hug)' Repackage,댄스 / 가요,Dreamus,SM ENTERTAINMENT,2013.08.05,289156,3822808
637,Good Morning Baby,Apink (에이핑크),Good Morning Baby,댄스 / 가요,카카오엔터테인먼트,에이큐브 엔터테인먼트,2014.01.13,642055,5974328
638,원더우먼 (씨야 & 다비치 & 티아라),Various Artists,Love 최신가요 2,전체 / 가요,RIAK,,2010.05.25,2334,8311
639,BABY DON'T CRY,BIGBANG,빅뱅 스페셜에디션,댄스 / 가요,YG PLUS,(주)YG엔터테인먼트,2011.04.08,26980,247812
640,너 때문에 (Feat. 성훈 Of 브라운아이드소울),유브이 (UV),너 때문에,댄스 / 가요,카카오엔터테인먼트,㈜코엔스타즈,2013.05.06,44062,385623
641,궁금해,MOMOLAND (모모랜드),GREAT!,댄스 / 가요,카카오엔터테인먼트,"(주)엠엘디엔터테인먼트, 카카오엔터테인먼트",2018.01.03,33719,149139
642,미쳤나봐 (with 권정열 of 10cm),소란 (SORAN),natural,락 / 가요,해피로봇 레코드,해피로봇레코드,2012.04.04,172199,1503695
643,나 이런 여자예요 (With 예지 & 체스카 of 피에스타),지아 (Zia),지아 정규3집 리패키지 '나 이런 여자예요',발라드 / 가요,카카오엔터테인먼트,콜라보따리,2014.01.29,158286,1140805
644,넘사벽 (Incomparable),몬스타엑스,THE CLAN Pt.2.5 'BEAUTIFUL',랩/힙합 / 가요,카카오엔터테인먼트,스타쉽 엔터테인먼트,2017.03.21,14499,203429
645,사랑한다 말할까,소유 (SOYOU),사랑한다 말할까 (장난스런 키스 OST Part.3),드라마 / OST,"지니뮤직, Stone Music Entertainment",스펀지엔터테인먼트,2010.09.17,119408,781244
646,키스해줄래,지나,키스해줄래 (장난스런키스 OST Part.1) (MBC 수목드라마),드라마 / OST,"지니뮤직, Stone Music Entertainment",스펀지엔터테인먼트,2010.09.01,58178,571645
647,Wake Up,일레인,사이코지만 괜찮아 OST Special Track Vol.1 (tvN 토일드라마),드라마 / OST,NHN벅스,모스트콘텐츠,2020.07.11,62215,638654
648,왜 이리,길구봉구,왜 이리,발라드 / 가요,지니뮤직,(주)뮤직웍스,2016.12.12,237164,3357184
649,마지막 그 한마디,이승기,마지막 그 한마디,발라드 / 가요,(주)후크엔터테인먼트,(주)후크엔터테인먼트,2013.05.27,93484,768861
650,신 사랑고개,Various Artists,트롯 전국체전 PART.6,트로트 / 가요,카카오엔터테인먼트,포켓돌 스튜디오,2021.01.10,19573,178378
651,OPEN YOUR EYES,IZ*ONE (아이즈원),BLOOM*IZ,댄스 / 가요,"지니뮤직, Stone Music Entertainment","Stone Music Entertainment, OFF THE RECORD Entertainment",2020.02.17,62488,991922
652,OK,크레용팝-딸기우유 (Crayon Pop-Strawberry Milk),The 1st. Mini Album,댄스 / 가요,Dreamus,크롬엔터테인먼트,2014.10.15,111777,616371
653,두둠칫 (Doo Doom Chit),크레용팝 (CRAYON POP),Evolution Pop_Vol.1,댄스 / 가요,주식회사 루미넌트엔터테인먼트,크롬엔터테인먼트,2016.09.26,102255,1184535
